Marca temporal,¿En que rango de edad te encuentras?,¿Cual es tu genero?,¿Procedes de un lugar  fuera de Tegucigalpa?,Las horas que inviertes para llegar a la UNAH las clasificarías como:,¿Posees una computadora en casa?,¿Posees conexión a internet permanente?,¿Consideras que tienes buena calidad de conexión a internet?,¿Estudiaste una carrera relacionada con el área de informática en secundaria?,¿Estudias en mas de una carrera universitaria?,¿En que rango se  encuentra tu indice académico?,¿Que factores crees que te ayudarían a mejorar tu rendimiento académico?,¿Has sido excelencia académica por lo menos alguna vez?,¿Has reprobado una o mas clases?,¿En que año  académico te encuentras?,¿Rango promedio de clases que matriculas por periodo?,¿Cuantas clases matriculaste este periodo?,¿Consideras que tienes un horario flexible?,¿Tienes horas libres entre clases?,¿Cómo considerarías las horas libres que tienes entre clases?,¿Alguna vez te has quedado sin cupo un o mas de una sección de clases?,¿Consideras necesaria una mayor apertura de secciones de clases?,¿Como prefieres estudiar?,¿Cuantas horas dedicas a estudiar a diario ?,¿Cumples con tus obligaciones académicas y horarios de estudio?,¿Aprendes por tu propia cuenta a través de otros recursos externos a la facultad de ingeniería en sistemas?,¿Has tenido atrasos en el transcurso de la carrera?,¿Consideras que el entorno educativo influye en que existan retrasos en el avance de tu carrera?,¿Que te motivo a estudiar esta carrera?,¿Te sientes bien en la carrera?,¿Has considerado alguna vez en abandonar la carrera de ingeniería en sistemas?,¿Consideras que la carrera de ingeniería en sistemas se encuentra sobrepoblada?,¿Consideras que el incremento de la población de estudiantes de ingeniería en sistemas influye en tu rendimiento académico?,¿ Considera que la sobrecarga laboral de los docentes influye en un bajo rendimiento del alumno?,"¿Que porcentaje de docentes consideras, han hecho una buena planificación de sus clases? ",¿Que porcentaje de docentes consideras poseen buenas estrategias educativas?,¿Considera que los recursos económicos que invierte la UNAH en la facultad de ingeniería en sistemas deben ser mayores?,¿Consideras que la UNAH debe contratar mas docentes para la facultad de ingeniería en sistemas?,¿Consideras que la UNAH debe proporcionar mas recursos materiales a disposición de la facultad de ingeniería en sistemas?, ¿Consideras que un aumento de los recursos tanto de infraestructura como de personal ayudaran a mejorar el rendimiento académico?,¿Consideras que las plataformas educativas virtuales son importantes en la educación hoy en día ?,Antes de la crisis mundial causada por el covid-19 ¿Con qué frecuencia utilizabas el campus virtual?,Con respecto a la crisis mundial causada por el covi-19 ¿Como ha aumentado el uso del campus virtual en tu caso?,"¿Has utilizado algún LMS en tus clases?  (Learning Management System, en español, sistema de gestión de aprendizaje es utilizado para realizar cursos online y material de capacitación, que a su vez lleva un registro del progreso de los estudiantes.)",¿Cuál de los siguientes LMS haz utilizado?,¿Qué valoración de uso le das?,¿Te gustaría que se implementara en la plataforma de LMS  una ampliación de recursos digitales?,
2020/04/04 5:19:57 p. m. GMT-6,23-27,Femenino,no,Normal,si,No,No,No,No,70-79,Mejor planificación,No,Si,4,4 a 6 ,4,Si,Si,Pocas,Si,Si,Solo,3,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle;Otras,Intermedio,Si,Opción 1
2020/04/04 7:39:30 p. m. GMT-6,28-32,Masculino,No,Normal,Si,si,Si,Si,No,90-100,Mejor planificación,Si,No,5,4 a 6 ,3,Si,No,Pocas,No,Si,Grupo,5,Si,Si,No,Si,Te gusta la carrera,Si,No,No,No,Si,41% - 60%,41% - 60%,Si,Si,Si,No,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si,
2020/04/04 7:45:12 p. m. GMT-6,23-27,Femenino,Si,Normal,Si,si,Si,No,No,80-89,Mejor planificación,Si,Si,5,4 a 6 ,2,Si,No,Pocas,Si,Si,Grupo,2,En ocasiones,No,Si,Si,Influencia de terceros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,No,Si,Si,En ocasiones,Mucho,Si,Moodle,Intermedio,Si,
2020/04/05 10:52:02 a. m. GMT-5,23-27,Femenino,Si,Normal,Si,si,Si,No,No,80-89,Mejor Planificación;Flexibilidad de horarios,Si,Si,5,4 a 6 ,2,Si,No,Pocas,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Influencia de terceros,Si,Si,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle;Canvas LMS;Wordpress,Poco,Si,
2020/04/06 10:19:48 a. m. GMT-5,23-27,Masculino,No,Normal,Si,si,Si,No,No,80-89,Flexibilidad de horarios,Si,Si,5,4 a 6 ,2,Si,Si,Pocas,No,Si,Solo,1,Si,Si,Si,Si,Otros,Si,Si,Si,No,Si,41% - 60%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Otras,Intermedio,Si,
2020/04/06 10:27:07 a. m. GMT-5,23-27,Femenino,Si,Normal,Si,si,No,No,No,90-100,Flexibilidad de horarios;Otros,Si,No,5,4 a 6 ,1,No,No,Pocas,Si,Si,Solo,2,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,No,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Poco,Si,Moodle;Otras,Intermedio,Si,
2020/04/06 10:39:36 a. m. GMT-5,23-27,Masculino,No,Pocas,Si,si,Si,No,No,70-79,Otros,No,Si,5,2 a 4,3,No,Si,Muchas,Si,Si,Solo,1,Si,Si,Si,Si,Te gusta la carrera,Si,No,No,No,No,61% - 80%,41% - 60%,Si,Si,Si,Si,Si,Muy frecuentemente,Poco,Si,Moodle;Otras,Poco,Si,
2020/04/06 10:44:45 a. m. GMT-5,28-32,Masculino,Si,Pocas,Si,si,Si,No,No,90-100,Flexibilidad de horarios,Si,No,5,4 a 6 ,2,Si,No,Pocas,Si,Si,Solo,2,En ocasiones,Si,Si,Si,Te gusta la carrera,Si,No,Si,Si,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Intermedio,Si,Moodle;Wordpress,Intermedio,Si,
2020/04/06 10:45:03 a. m. GMT-5,23-27,Masculino,Si,Pocas,Si,si,No,No,No,70-79,Mejor Planificación,No,Si,5,4 a 6 ,5,No,Si,Muchas,Si,Si,Solo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle;Wordpress,Intermedio,Si,
2020/04/06 10:46:42 a. m. GMT-5,23-27,Masculino,Si,Normal,Si,si,Si,No,No,80-89,Flexibilidad de horarios,Si,No,4,4 a 6 ,5,No,Si,Muchas,Si,Si,Grupo,3,Si,Si,Si,Si,Te gusta la carrera,Si,Si,Si,No,Si,41% - 60%,41% - 60%,Si,Si,Si,Si,Si,Nunca,Mucho,Si,Wordpress,Poco,Si,
2020/04/06 10:46:57 a. m. GMT-5,23-27,Masculino,No,Normal,Si,si,Si,Si,No,80-89,Otros,Si,si,5,4 a 6 ,3,Si,Si,Pocas,Si,Si,Solo,5,Si,Si,Si,Si,Te gusta la carrera,Si,No,Si,No,Si,21% - 40%,20% - 40%,Si,Si,Si,Si,Si,En ocasiones,Poco,No,Otras,Mucho,Si,
2020/04/06 10:47:35 a. m. GMT-5,18-22,Masculino,No,Normal,Si,si,Si,Si,Si,90-100,Mejor Planificación,Si,No,5,4 a 6 ,4,Si,Si,Pocas,No,Si,Grupo,1,Si,Si,Si,No,Te gusta la carrera,Si,No,Si,No,No,61% - 80%,41% - 60%,Si,Si,Si,Si,Si,En ocasiones,Mucho,Si,Moodle,Poco,Si,
